Date,Value
1983,293.06
1983,301.64
1983,303.94
1983,303.56
1983,312.05
1983,313.85
1983,315.24
1983,326.11
1983,328.91
1983,321.58
1983,319.57
1983,312.87
1983,320.71
1983,303.96
1983,300.2
1983,299.58
1983,299.1
1983,290.31
1983,297.85
1983,302.23
1983,298.27
1983,303.61
1983,296.65
1983,297.36
1983,289.65
1983,279.49
1983,276.14
1983,273.17
1983,277.13
1983,281.28
1983,285.49
1983,283.91
1983,280.51
1983,276.01
1983,276.54
1983,278.6
1984,287.9
1984,286.85
1984,284.41
1984,273.18
1984,264.01
1984,254.04
1984,251.33
1984,251.44
1984,255.54
1984,249.01
1984,253.37
1984,249.98
1984,250.78
1984,243.94
1984,244.01
1984,245.35
1984,246.9
1984,250.89
1984,250.57
1984,244.61
1984,235.23
1984,235.9
1984,240.35
1984,235.64
1984,241.11
1984,239.65
1984,236.72
1984,234.67
1984,229.37
1984,229.3
1984,246.24
1984,252.43
1984,250.37
1984,254.78
1984,254.64
1984,251.68
1984,255.6
1984,252.68
1984,249.94
1984,245.46
1984,246.2
1984,251.2
1984,247.4
1984,248
1984,249.5
1984,245.1
1984,245.3
1984,242.4
1984,239.3
1984,239
1984,244.8
1984,245.9
1985,246.1
1985,252.2
1985,263.1
1985,274
1985,278.4
1985,288.4
1985,287.7
1985,286.2
1985,287.2
1985,282.4
1985,278
1985,278.9
1985,279.2
1985,277.4
1985,280.6
1985,282.8
1985,284.1
1985,280.3
1985,287.5
1985,291.7
1985,292.1
1985,290.8
1985,291
1985,288
1985,288.7
1985,296.2
1985,298.6
1985,302.4
1985,307.8
1985,304.6
1985,304.5
1985,299.1
1985,296.5
1985,296.7
1985,297.7
1985,296.2
1985,287.2
1985,284.4
1985,280.2
1985,280.5
1985,281.8
1985,288.4
1985,289.5
1985,294.1
1985,300
1985,306.2
1985,310.8
1985,314
1985,316.6
1985,324
1985,323.1
1985,322.8
1986,325.7
1986,324.4
1986,330.7
1986,328.9
1986,335.8
1986,342.2
1986,350.2
1986,355.65
1986,359.5
1986,362.2
1986,371.8
1986,372.6
1986,373.3
1986,372.2
1986,378.9
1986,390.1
1986,392.3
1986,383.2
1986,389.1
1986,384.7
1986,391.9
1986,400.2
1986,400.3
1986,399.6
1986,396.9
1986,403.6
1986,411.2
1986,391.6
1986,381.1
1986,379.8
1986,370.7
1986,365.8
1986,380.2
1986,381.5
1986,382.9
1986,378.4
1986,346.8
1986,349.4
1986,351.6
1986,352.8
1986,353.5
1986,355.7
1986,356.7
1986,360.8
1986,361
1986,358.5
1986,354.7
1986,359.6
1986,363
1986,355.9
1986,352.2
1986,349.9
1987,353.2
1987,380.7
1987,389.9
1987,392.2
1987,392.1
1987,406.9
1987,412.5
1987,417.2
1987,425
1987,429.5
1987,432
1987,439.6
1987,436.6
1987,437.4
1987,430.9
1987,419.5
1987,412.6
1987,418.4
1987,423.2
1987,418.9
1987,407.4
1987,416.5
1987,417.8
1987,425.4
1987,429.1
1987,426.7
1987,425.9
1987,426
1987,434.1
1987,429.1
1987,434.9
1987,443.6
1987,451.6
1987,455.2
1987,453.3
198,446.5
1987,446.2
1987,440.9
1987,441.9
1987,451.6
1987,438.4
1987,406.3
1987,328.5
1987,323.3
1987,326.4
1987,323
1987,312.5
1987,316.5
1987,292.9
1987,302.6
1987,326.9
1987,333.2
1987,330.5
1988,338.5
1988,340.1
1988,337.6
1988,344.7
1988,345.8
1988,353.3
1988,357.1
1988,363.4
1988,373.4
1988,375.5
1988,381.6
1988,372.5
1988,374.6
1988,381.8
1988,373.9
1988,374
1988,379.2
1988,379.4
1988,372.5
1988,366
1988,366.7
1988,376.9
1988,386.3
1988,386.9
1988,391.6
1988,394.7
1988,394.3
1988,395
1988,387.4
1988,387.3
1988,387.7
1988,379
1988,377.4
1988,374.4
1988,376.5
1988,381.6
1988,383.9
1988,385
1988,387.7
1988,385.7
1988,384.6
1988,388.6
1988,382.8
1988,381
1988,373.8
1988,367.6
1988,366.4
1988,373.9
1988,375.2
1988,375.8
1988,377.3
1988,381.4
1989,384.7
1989,387.1
1989,391.7
1989,398
1989,406.4
1989,402.4
1989,407.2
1989,400
1989,404
1989,405.9
1989,402.2
1989,400.9
1989,406.7
1989,410.7
1989,417.7
1989,423.8
1989,427.6
1989,430.7
1989,434.8
1989,442.1
1989,445.2
1989,451.6
1989,453.7
1989,447.2
1989,448.4
1989,435.3
1989,442.4
1989,448.9
1989,449.3
1989,452.8
1989,457.4
1989,462.5
1989,462
1989,466.8
1989,471.3
1989,471.3
1989,467.6
1989,468.1
1989,472.9
1989,483.6
1989,467.3
1989,470.7
1989,452.8
1989,453
1989,456.2
1989,456.7
1989,456.6
1989,457.1
1989,456.2
1989,443.8
1989,444.6
1989,454.8
1990,458.2
1990,439.7
1990,440.9
1990,421.3
1990,422.2
1990,428.8
1990,429
1990,419.5
1990,431
1990,436.8
1990,442.2
1990,437.3
1990,435.5
1990,430.9
1990,436.3
1990,425.8
1990,418
1990,428.6
1990,438.1
1990,448.3
1990,453.7
1990,462.1
1990,460.9
1990,467.6
1990,459.3
1990,462.3
1990,460.5
1990,468.4
1990,455.3
1990,442.6
1990,417.5
1990,408
1990,393.5
1990,367.3
1990,381.2
1990,380.4
1990,374.4
1990,362.3
1990,344.5
1990,347.4
1990,327.6
1990,337.4
1990,334.4
1990,336.5
1990,342
1990,350.9
1990,349
1990,359.1
1990,371.5
1990,368.8
1990,373.6
1990,371.2
1991,367.2
1991,361.8
1991,377
1991,394.3
1991,417.7
1991,436.8
1991,448.7
1991,449
1991,456.7
1991,475.11
1991,466.29
1991,464.15
1991,482.3
1991,495.79
1991,501.62
1991,501.19
1991,494.64
1991,492.1
1991,493.42
1991,481.38
1991,492.67
1991,506.11
1991,498.54
1991,495.07
1991,485.82
1991,475.92
1991,474.05
1991,492.71
1991,497.55
1991,492.69
1991,505.67
1991,508.31
1991,512.47
1991,521.06
1991,525.68
1991,516.94
1991,516.71
1991,527.19
1991,524.48
1991,520.4
1991,519.05
1991,538.9
1991,525.13
1991,540.93
1991,548.08
1991,531.29
1991,526.46
1991,523.9
1991,536.3
1991,540.9
1991,535.76
1991,565.71
1992,592.65
1992,615.7
1992,626.85
1992,624.68
1992,620.21
1992,634.95
1992,636.43
1992,629.75
1992,633.47
1992,615.95
1992,618.62
1992,624.28
1992,604.67
1992,590.01
1992,584.24
1992,591.81
1992,572.89
1992,578.14
1992,585.76
1992,574.43
1992,580.3
1992,585.31
1992,585.43
1992,569.52
1992,554.2
1992,547.84
1992,563.35
1992,567.8
1992,570.52
1992,565.61
1992,580.83
1992,573.74
1992,573.18
1992,563.7
1992,563.56
1992,573.44
1992,583.01
1992,589.12
1992,577.2
1992,571.63
1992,570.52
1992,582.61
1992,597.3
1992,605.17
1992,616.82
1992,637.16
1992,642.6
1992,649.49
1992,661.6
1992,655.79
1992,661.29
1992,665.88
1992,676.95
1993,677.21
1993,697.15
1993,701.63
1993,696.34
1993,700.98
1993,690.54
1993,663.61
1993,670.77
1993,681.37
1993,692.78
1993,682.72
1993,681.54
1993,669.85
1993,666.33
1993,666.78
1993,658.41
1993,661.42
1993,681.44
1993,676.37
1993,694.29
1993,700.53
1993,702.01
1993,693.19
1993,689.59
1993,694.81
1993,704.49
1993,705.81
1993,699.73
1993,700.24
1993,704.7
1993,718.08
1993,718.26
1993,730.96
1993,734.07
1993,749.71
1993,744.31
1993,740.11
1993,754.65
1993,763.23
1993,764.27
1993,787.42
1993,772.68
1993,779.26
1993,762.99
1993,779.32
1993,751.56
1993,754.87
1993,772.22
1993,760.74
1993,759.23
1993,758.7
1993,776.8
1994,782.94
1994,792.31
1994,794.28
1994,796.53
1994,777.28
1994,781.39
1994,788.85
1994,783.78
1994,790.55
1994,789.2
1994,803.93
1994,783.45
1994,743.46
1994,748.71
1994,727.97
1994,722.56
1994,733.84
1994,732.86
1994,716.92
1994,726.7
1994,733.14
1994,742.38
1994,734.25
1994,729.35
1994,693.79
1994,706.85
1994,707.46
1994,721.36
1994,716.68
1994,722.16
1994,718.67
1994,731.61
1994,742.43
1994,762.94
1994,759.23
1994,763.73
1994,777.91
1994,757.46
1994,764.29
1994,749.96
1994,767.08
1994,765.38
1994,776.15
1994,766.08
1994,762.12
1994,764.67
1994,742.52
1994,745.02
1994,719.05
1994,729.07
1994,742.19
1994,751.96
1995,749.69
1995,762.16
1995,762.05
1995,758.91
1995,772.06
1995,790.43
1995,786.97
1995,791.08
1995,798.79
1995,802.22
1995,808.33
1995,818.66
1995,817.21
1995,814.69
1995,832.64
1995,823.44
1995,843.98
1995,843.53
1995,858.94
1995,864.57
1995,871.87
1995,872.97
1995,884.38
1995,908.65
1995,938.87
1995,933.45
1995,969.76
1995,999.33
1995,961.77
1995,1005.28
1995,991.09
1995,1004.11
1995,1031.28
1995,1019.97
1995,1019.47
1995,1060.03
1995,1051.1
1995,1053.39
1995,1043.54
1995,1012.04
1995,1018.38
1995,1039.53
1995,1025.55
1995,1065.66
1995,1063.87
1995,1045.03
1995,1030.17
1995,1055.31
1995,1062.41
1995,1030.48
1995,1046.89
1995,1052.13
1996,1033.47
1996,1008.23
1996,1018.45
1996,1040.96
1996,1072.11
1996,1094.6
1996,1090.71
1996,1117.79
1996,1086.08
1996,1063.73
1996,1099.59
1996,1102.22
1996,1101.4
1996,1118.21
1996,1100.94
1996,1138.7
1996,1186.89
1996,1184.6
1996,1202.76
1996,1241.88
1996,1247.8
1996,1243.43
1996,1229.76
1996,1213.18
1996,1175.44
1996,1185.02
1996,1158.35
1996,1103.49
1996,1097.68
1996,1079.44
1996,1124.92
1996,1137.27
1996,1133.65
1996,1143.05
1996,1141.5
1996,1139.39
1996,1188.67
1996,1219.69
1996,1230.05
1996,1247.56
1996,1248.27
1996,1242.48
1996,1222.6
1996,1221.78
1996,1257.51
1996,1261.8
1996,1274.36
1996,1292.61
1996,1287.68
1996,1284.91
1996,1288.56
1996,1291.38
1997,1310.68
1997,1332.02
1997,1349.05
1997,1363.83
1997,1379.85
1997,1357.71
1997,1367.19
1997,1334.32
1997,1309
1997,1311.8
1997,1292.97
1997,1254.07
1997,1249.51
1997,1236.73
1997,1206.9
1997,1222.57
1997,1209.29
1997,1305.33
1997,1335.05
1997,1340.73
1997,1389.72
1997,1400.32
1997,1404.84
1997,1423.03
1997,1447.1
1997,1438.15
1997,1467.61
1997,1502.62
1997,1547.99
1997,1569.58
1997,1594.33
1997,1598.52
1997,1562.03
1997,1598.69
1997,1587.32
1997,1635.77
1997,1649.33
1997,1680.36
1997,1682.24
1997,1715.87
1997,1739.03
1997,1666.85
1997,1650.92
1997,1593.61
1997,1602.4
1997,1583.51
1997,1620.75
1997,1600.55
1997,1633.9
1997,1536.58
1997,1524.74
1997,1511.38
1998,1581.53
1998,1503.22
1998,1562.88
1998,1575.93
1998,1619.36
1998,1694.35
1998,1710.42
1998,1728.13
1998,1770.51
1998,1753.49
1998,1771.66
1998,1789.16
1998,1823.62
1998,1855.4
1998,1820.24
1998,1866.6
1998,1868.96
1998,1873.44
1998,1864.37
1998,1846.77
1998,1805
1998,1778.87
1998,1782.92
1998,1745.05
1998,1781.29
1998,1869.53
1998,1894
1998,1943.04
1998,2008.76
1998,1930.99
1998,1872.39
1998,1846.77
1998,1790.19
1998,1797.61
1998,1639.68
1998,1566.52
1998,1641.64
1998,1663.77
1998,1743.59
1998,1614.98
1998,1492.49
1998,1620.95
1998,1693.86
1998,1771.39
1998,1856.56
1998,1847.99
1998,1928.21
1998,2016.44
1998,2003.16
1998,2029.31
1998,2086.14
1998,2163.04
1998,2192.69
1999,2344.41
1999,2348.2
1999,2338.88
1999,2505.89
1999,2373.62
1999,2321.89
1999,2283.6
1999,2288.03
1999,2337.11
1999,2381.53
1999,2421.27
1999,2419.17
1999,2493.37
1999,2593.05
1999,2484.04
1999,2590.69
1999,2542.85
1999,2503.62
1999,2527.86
1999,2520.14
1999,2470.52
1999,2478.34
1999,2447.88
1999,2563.44
1999,2552.65
1999,2741.02
1999,2793.07
1999,2864.48
1999,2692.4
1999,2638.49
1999,2547.97
1999,2637.81
1999,2648.33
1999,2758.9
1999,2843.11
1999,2887.06
1999,2869.62
1999,2749.83
1999,2736.85
1999,2886.57
1999,2731.83
1999,2816.52
1999,2966.43
1999,3102.29
1999,3191.08
1999,3369.25
1999,3447.81
1999,3520.63
1999,3620.24
1999,3753.06
1999,3969.44
1999,4069.31
2000,3882.62
2000,4064.27
2000,4235.4
2000,3887.07
2000,4244.14
2000,4395.45
2000,4411.74
2000,4590.5
2000,4914.79
2000,5048.62
2000,4798.13
2000,4963.03
2000,4572.83
2000,4446.45
2000,3321.29
2000,3643.88
2000,3860.66
2000,3816.82
2000,3529.06
2000,3390.4
2000,3205.11
2000,3813.38
2000,3874.84
2000,3860.56
2000,3845.34
2000,3966.11
2000,4023.2
2000,4246.18
2000,4094.45
2000,3663
2000,3787.36
2000,3789.47
2000,3930.34
2000,4042.68
2000,4234.33
2000,3978.41
2000,3835.23
2000,3803.76
2000,3672.82
2000,3361.01
2000,3316.77
2000,3483.14
2000,3278.36
2000,3451.58
2000,3028.99
2000,3027.19
2000,2904.38
2000,2645.29
2000,2917.43
2000,2653.27
2000,2517.02
2000,2470.52
2001,2407.65
2001,2626.5
2001,2770.38
2001,2781.3
2001,2660.5
2001,2470.97
2001,2425.38
2001,2262.51
2001,2117.63
2001,2052.78
2001,1890.91
2001,1928.68
2001,1840.26
2001,1720.36
2001,1961.43
2001,2163.41
2001,2075.68
2001,2191.53
2001,2107.43
2001,2198.83
2001,2251.03
2001,2149.44
2001,2215.1
2001,2028.43
2001,2034.84
2001,2160.54
2001,2004.16
2001,2084.79
2001,2029.37
2001,2029.07
2001,2066.33
2001,1956.47
2001,1867.01
2001,1916.8
2001,1805.43
2001,1687.7
2001,1695.37
2001,1423.19
2001,1498.8
2001,1605.3
2001,1703.4
2001,1671.31
2001,1768.96
2001,1745.73
2001,1828.48
2001,1898.58
2001,1903.2
2001,1930.58
2001,2021.26
2001,1953.17
2001,1945.83
2001,1987.26
2002,2059.38
2002,2022.46
2002,1930.34
2002,1937.7
2002,1911.24
2002,1818.88
2002,1805.2
2002,1724.54
2002,1802.74
2002,1929.67
2002,1868.3
2002,1851.39
2002,1845.35
2002,1770.03
2002,1756.19
2002,1796.83
2002,1663.89
2002,1613.03
